id,uuid,parent_id,city_id,name,category,geom,geom_pt,modified_at,deleted_at,synced_at
4774,0300fb0c-f4cf-4972-b513-cf4b4546312b,,4373,Cartório de Afagados,,"POLYGON((-34.9077290873688 -8.08019202453643, -34.9077068440868 -8.08021341230761, -34.9076794677397 -8.08021170128592, -34.9076769012071 -8.08008337465882, -34.9077230987929 -8.08008166363713, -34.9077290873688 -8.08019202453643))",POINT(-34.9077020636049 -8.08013769959762),2025-09-19 14:32:50.606018 UTC,,
4512,cb55bbbb-1acb-4345-816b-f33705a21d9f,,4373,Estádio José do Rego Maciel (Arruda),1,"POLYGON((-34.8926838798008 -8.02616743865576, -34.8930572795163 -8.02620851262447, -34.8927548257468 -8.02764610152914, -34.8924112980085 -8.02763489953768, -34.8923776920341 -8.027690909495, -34.8900738157895 -8.0275415496088, -34.8900215398293 -8.02747807165717, -34.8903351955903 -8.02651843438833, -34.8906227133713 -8.02587618687767, -34.8906749893314 -8.02582764491466, -34.8909102311522 -8.02572682699147, -34.8909886450925 -8.02573429498578, -34.8926988157895 -8.02608529071835, -34.8926838798008 -8.02616743865576))",POINT(-34.8915347470257 -8.02699825302275),2025-08-29 08:45:04.544332 UTC,,
4513,3f5d6fb5-d69a-4494-a7d8-657cd54c0dc6,,4373,Praça da UR5 - Ibura,1,"POLYGON((-34.9485689633713 -8.13234145803698, -34.9488322101707 -8.132347992532, -34.9489750355619 -8.13248148293029, -34.9488219416785 -8.13266164829302, -34.9485269559033 -8.13238533250355, -34.9485689633713 -8.13234145803698))",POINT(-34.9488121304748 -8.13257156561166),2025-08-29 12:10:35.095632 UTC,,
4518,ecf7b0d6-f2f1-4b10-bc1c-8f6b75236c19,,4373,Centro Comunitário da Paz - Compaz Governador Eduardo Campos,1,"POLYGON((-34.9035309174964 -8.01043450657895, -34.9034917105263 -8.01042237108819, -34.9034749075391 -8.01045037606686, -34.9033059441678 -8.01045877756045, -34.903122044808 -8.01041770359175, -34.9026674306544 -8.01042470483641, -34.9026487606686 -8.01005877311523, -34.9026562286629 -8.00975445234709, -34.9032181952347 -8.00973951635847, -34.9033078111664 -8.00974511735421, -34.9035486539829 -8.01022306899005, -34.9035309174964 -8.01043450657895))",POINT(-34.9030801055069 -8.01014092105264),2025-08-29 12:20:47.930317 UTC,,
4635,8cc16b21-fecc-41de-b6c9-8399544f7d33,,4373,Clube Bela Vista,1,"POLYGON((-34.895935076458 -8.00731536539829, -34.8960919043386 -8.00744978929588, -34.8960751013514 -8.007663560633, -34.8957390416074 -8.007663560633, -34.8956830316501 -8.00738631134424, -34.895935076458 -8.00731536539829))",POINT(-34.895900475694 -8.00755667496444),2025-09-08 12:01:38.394908 UTC,,
4680,ac51b571-c0de-4907-8ac9-db0f14ac90ad,,4373,Campo do Onze,1,"POLYGON((-34.8787734779516 -8.04041365931722, -34.8792215576102 -8.04103163584637, -34.8787921479374 -8.04130048364153, -34.878457955192 -8.04081506401138, -34.8784719576814 -8.04079826102418, -34.8784532876956 -8.04078052453769, -34.8785148986486 -8.0406890416074, -34.8785363691323 -8.04071517958748, -34.8787734779516 -8.04041365931722))",POINT(-34.8788377740114 -8.04092334992888),2025-09-16 05:32:45.948070 UTC,,
4693,0589b5fa-5ecc-461a-b807-f285f9362ed0,,4373,Quadra do rotary Alto do Pascoal,1,"POLYGON((-34.9020234326102 -8.01539898604196, -34.9018638042319 -8.01549887046586, -34.9017359148293 -8.01529350062234, -34.9018806072191 -8.01518614820413, -34.9020234326102 -8.01539898604196))",POINT(-34.9018783993146 -8.01534624333215),2025-09-17 05:52:39.706959 UTC,,
4695,f2fabab2-e5d6-42b5-a211-9470d2c3970b,,4373,Clube Português,1,"POLYGON((-34.8960451277672 -8.0507038821263, -34.8958425478287 -8.05040235984688, -34.8958294781553 -8.05030142100792, -34.8954269322129 -8.04979155007804, -34.8964645 -8.0496227, -34.8966502536481 -8.05020436440829, -34.8965992819216 -8.05030271509577, -34.8960451277672 -8.0507038821263))",POINT(-34.8960871148266 -8.04999795724316),2025-09-17 06:42:26.762760 UTC,,
4700,ddbc1b8d-8c8f-40a2-b675-8a8117edd1cc,,4373,Vila Olímpica,1,"POLYGON((-34.8473270590327 -7.95881990931721, -34.847266381579 -7.95880870732574, -34.8471804996444 -7.95869295341394, -34.8471384921764 -7.95866681543385, -34.8470526102418 -7.95855386201991, -34.8470190042674 -7.95848758357041, -34.8470190042674 -7.95845304409673, -34.8474726849218 -7.95810951635847, -34.8477387322191 -7.95843717460882, -34.8477340647226 -7.95850438655761, -34.8473270590327 -7.95881990931721))",POINT(-34.8473777175757 -7.95847031383357),2025-09-17 09:25:00.616889 UTC,,
4708,aa439fd4-92a2-48ff-a225-d1ec44a5d64d,,4373,Clube Internacional do Recife,1,"POLYGON((-34.9042180494891 -8.05852339827537, -34.9041762265341 -8.05847034174786, -34.9044729081215 -8.05821541150646, -34.9047101226946 -8.05851304578274, -34.9043778262471 -8.05879579814246, -34.9043226068768 -8.05873497728542, -34.9040677482444 -8.05894785024504, -34.9039265957712 -8.05876991692781, -34.9040354720495 -8.05867782672011, -34.9039458735395 -8.05857839588801, -34.9039948848149 -8.05853633889079, -34.9040860457873 -8.05863549634265, -34.9042180494891 -8.05852339827537))",POINT(-34.9043597174242 -8.05860694611533),2025-09-17 11:53:09.450422 UTC,,
